participant_number,scenario,iteration,driving_score,episode_loss
11,town01_crash_veer_right,0,0.86,-1.9515509116980767
11,town03_roundabout_approach,1,0.18,-1.4647071038683255
11,town04_highway_pileup,2,0.26,-1.091422561970022
11,town01_crash_pileup,3,0.8,-1.1163784873982272
11,town02_slow_convoy,4,0.86,-0.605464119464159
11,town03_narrow_pass,5,0.93,-0.5437022493945227
11,town01_close_pair,6,0.9,-1.0625360732277234
11,town01_parked_plus_slow,7,0.88,-0.5868250628312428
11,town01_crash_with_parked,8,0.88,-0.4388571880343888
11,town02_slow_convoy,9,0.86,-0.3343543205410242
11,town02_crash_veer_right,10,0.89,-0.26719705760478973
11,town04_highway_crash_right,11,0.31,-0.23341214201516575
11,town04_crossing_crash,12,0.87,-0.1827362235635519
11,town02_four_parked,13,0.84,-0.13062406065701335
11,town04_highway_crash_right,14,0.31,-0.11601639828748173
11,town01_crash_veer_left,15,0.92,-0.09432169106892414
11,town02_double_stagger,16,0.87,-0.0809264666814771
11,parked_right,17,0.89,-0.07346025181727277
11,town03_roundabout_triple,18,0.11,-0.05404220784289969
11,town02_crash_veer_right,19,0.89,-0.040861018778135375
11,town01_tight_gap,20,0.89,-0.04429254727438092
11,town02_slow_convoy,21,0.86,-0.0406580158483444
11,town01_slow_traffic,22,0.88,-0.019985982579075627
11,town02_crash_plus_slow_npc,23,0.87,-0.035778981025537684
11,town01_tight_gap,24,0.89,-0.03137997561134398
11,town02_crash_veer_left,25,0.89,-0.01146527987697886
11,town02_parked_plus_slow,26,0.87,-0.014811375669928063
11,town02_three_parked,27,0.88,-0.02768864172717763
11,town01_crash_pileup,28,0.8,-0.012322724072469605
11,town01_close_pair,29,0.9,-0.02546911474524273
11,town03_roundabout_approach,30,0.18,0.018125231041469507
11,town02_slow_convoy,31,0.86,-0.03020038635521713
11,town02_slow_convoy,32,0.86,-0.028854783313969772
11,town01_far_parked,33,0.89,0.037348097681792244
11,town02_crash_veer_right,34,0.89,0.018743477611699037
11,town04_crossing_block,35,0.87,-0.02896079254440136
11,town02_crash_veer_right,36,0.89,-0.016607145487796515
11,town01_four_obstacles,37,0.76,-0.028132713016950427
11,town04_highway_shoulder,38,0.33,-0.03318354592192918
11,town04_highway_slow_traffic,39,0.3,-0.038148806870190635
11,town03_tunnel_double_park,40,0.93,-0.026672502708000444
11,town03_tunnel_crash_left,41,0.93,-0.028481826481098933
