actor_tag,actor_id,frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,map
hero,132,155294,6873.651,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155294,6873.651,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155295,6873.718,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155295,6873.718,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155296,6873.786,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155296,6873.786,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155297,6873.850,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155297,6873.850,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155298,6873.914,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155298,6873.914,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155299,6873.983,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155299,6873.983,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
