frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,lane_event,map
15210,635.217,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15211,635.267,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15212,635.317,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15213,635.367,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15214,635.417,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15215,635.467,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15216,635.517,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15217,635.567,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15218,635.617,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15219,635.667,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15220,635.717,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15221,635.767,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15222,635.817,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15223,635.867,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15224,635.917,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15225,635.967,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15226,636.017,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15227,636.067,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15228,636.117,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15229,636.167,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15230,636.217,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15231,636.267,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15232,636.317,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15233,636.367,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15234,636.417,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15235,636.467,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15236,636.517,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15237,636.567,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15238,636.617,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15239,636.667,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15240,636.717,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
